CONSIGNEE,INVOICE,INVOICE DATE,INVOICE CUSTOMER,B/L NO.,IMPORT ENTRY NO.,EXPORT ENTRY NO.,CONTAINER 20,CONTAINER 40,CUSTOMS FEE,DUT&TAX,DELIVERY ORDER FEES,TERMINAL HANDLING CHARGE,ADVANCE LIFT ON/LIFT OFF 20-40,DETENTION CHARGES,DEMURRAGE CHARGE,REPAIR,STORAGE CHARGE,PORT CHARGE,CUSTOMS OVER TIME,ADVANCE OTHER DESCRIPTION,ADVANCE PRICE,CUSTOMS CLEARANCE,NEXTENTRY,TRANSPORTATION,CONTAINER DROP,GATE FEE,CHARGE LIFT ON/LIFT OFF 20-40,TRANSPORT OVER TIME,OCEAN FREIGHT,AIR FREIGHT,CARRIER DELIVERY ORDER,THC PORT OF DISCHARGE,CONTAINER CLEANING FEE,EQUIPMENT CONTAINER FEE,IMPORT HANDLING FEE,EX-WORK COST,INSURANCE,CHARGE OTHER DESCRIPTION,CHARGE PRICE,GROSS AMT,VAT AMT,TOTAL AMT,W/T 1%,W/T 3%,NET AMT
IPC,INSI24020040,02/02/2024,1535245,OOLU2730931690,A0290670101689,,1,1,,,,,,,1203.75,,,,,,,,,,,,,,,,,,,,,,,,,1203.75,,1203.75,,,1203.75
IPC,INSI24020041,02/02/2024,1532522,SITGSHLCA51486,A0110670113670,,,2,,,,,,,802.5,,,,,,,,,,,,,,,,,,,,,,,,,802.5,,802.5,,,802.5
IPC,INSI24020042,02/02/2024,1535250,029E502056,A0300670102986,,1,1,,,10450,,1786.9,,,,,,,,,,,,,,,,,,,,,,,,,,,12236.9,,12236.9,,,12236.9
IPC,INSI24020045,02/02/2024,1535249,029E502058,A0300670103119,,1,1,,,10450,,1786.9,,,,,,,,,,,,,,,,,,,,,,,,,,,12236.9,,12236.9,,,12236.9
SCAN,INSI24020091,05/02/2024,1535213A,029D533998,A0010670214046,,1,3,,,21650,,5885,,,,,,,,,,,,,,,,,,,,,,,,,,,27535,,27535,,,27535
SCAN,INSI24020093,05/02/2024,1535217A,029D533997,A0010670211926,,1,3,,,21650,,5885,,,,,,,,,,,,,,,,,,,,,,,,,,,27535,,27535,,,27535
SCAN,INSI24020095,05/02/2024,1535217B,029E502055,A0010670212279,,2,,,,8300,,2075.8,,,,,,,,,,,,,,,,,,,,,,,,,,,10375.8,,10375.8,,,10375.8
SCAN,INSI24020097,05/02/2024,1535213B,029E502057,A0010670212173,,2,,,,8300,,2075.8,,,,,,,,,,,,,,,,,,,,,,,,,,,10375.8,,10375.8,,,10375.8
SCAN,INSI24020122,05/02/2024,JTX20240022,SMLMTAQF4A076300,A0010670203845,,,1,,,6700,,1070,,,,,,,,,,,,,,,,,,,,,,,,,,,7770,,7770,,,7770
SCAN,INSI24020090,05/02/2024,1535213A,029D533998,A0010670214046,,1,3,200,,,,,,,,,,,,,3200,1400,,,,,,,,,,,,,,,,,4800,,4800,,,4800
